Center,Cops in One Village Have Been Convicted of 70 Crimes. Here’s What They Had to Say About It.,cops in one village have been convicted of 70 crimes heres what they had to say about it
Center,David Beckham gets six-month driving ban for using phone at wheel,david beckham gets six-month driving ban for using phone at wheel
Right,Dead sea turtle found with spear through head in Florida national park,dead sea turtle found with spear through head in florida national park
Center,Detention centres 'will shock the conscience of this country',detention centres will shock the conscience of this country
Center,Donald Trump even has lies hiding in the underpants of the secret service | First Dog on the Moon,donald trump even has lies hiding in the underpants of the secret service  first dog on the moon
Center,Dow books fourth straight weekly slide -- longest weekly skid since 2016,dow books fourth straight weekly slide -- longest weekly skid since 2016
Right,EU chief tries to sell top job nominees to hostile lawmakers,eu chief tries to sell top job nominees to hostile lawmakers
Right,El Salvador’s President Says His Country — Not Trump — Is Responsible For Migrant Deaths In Rio Grande,el salvadors president says his country  not trump  is responsible for migrant deaths in rio grande
Left,Elizabeth Warren Lays Out a Theory of Change at First Democratic Debate,elizabeth warren lays out a theory of change at first democratic debate
Left,Enbridge Is Behind This Front Group Pushing the Company’s Line 3 Oil Pipeline,enbridge is behind this front group pushing the companys line 3 oil pipeline
Center,Europe failed to act after the 2003 French heatwave. We cannot ignore this one | Ruben Hallali,europe failed to act after the 2003 french heatwave we cannot ignore this one  ruben hallali
Left,FBI’s Leniency Toward Border Vigilante Contrasts With Harsh Treatment of Black Identity Extremist,fbis leniency toward border vigilante contrasts with harsh treatment of black identity extremist
Left,Fifty Years After Stonewall Many States Still Lack LGBTQ Protections,fifty years after stonewall many states still lack lgbtq protections
Center,Five numbers that explain US border crisis,five numbers that explain us border crisis
Center,Five ways to care for your scalp,five ways to care for your scalp
Right,France Is The Latest Country To Authorize Killing People Who Aren’t Dying,france is the latest country to authorize killing people who arent dying
Center,Full Coverage: The Manson murders — 50 years later,full coverage: the manson murders  50 years later
Center,Full Mueller report may have 'proof of bad deeds' and must be seen – Democrat,full mueller report may have proof of bad deeds and must be seen  democrat
Center,George Archer – the 1969 Masters winner who had an amazing secret | Ewan Murray,george archer  the 1969 masters winner who had an amazing secret  ewan murray
Center,Gold futures move up after earlier declines as U.S. stock indexes turn lower,gold futures move up after earlier declines as us stock indexes turn lower
Center,Greta Gerwig and Noah Baumbach Welcome Their First Child,greta gerwig and noah baumbach welcome their first child
Right,He donated his mother's body for Alzheimer's research — but it was sold to US Army 'strapped in a chair' and used for blast testing,he donated his mother's body for alzheimer's research  but it was sold to us army strapped in a chair and used for blast testing
Left,Head of Program Profiling Muslims in Chicago Steps Down Amid Pressure,head of program profiling muslims in chicago steps down amid pressure
Right,Heartbreak anew after 2 Parkland teens Sandy Hook father dead from apparent suicides,heartbreak anew after 2 parkland teens sandy hook father dead from apparent suicides
Center,Holiday Inn owner to ditch mini toiletries from 5000 hotels,holiday inn owner to ditch mini toiletries from 5000 hotels
Right,Holy Guacamole! Avocado Growers Say U.S. Will Run Out Of Avocados In Three WEEKS If Trump Seals Border,holy guacamole avocado growers say us will run out of avocados in three weeks if trump seals border
Right,House Conservatives Form New ‘Anti-Socialism Caucus’,house conservatives form new anti-socialism caucus
Right,House Panel Subpoenas Kellyanne Conway over ‘Egregious’ Ethics Violations,house panel subpoenas kellyanne conway over egregious ethics violations
Right,Ilhan Omar hopes her minions can help her punish ‘white nationalist’ Tucker Carlson for ‘hate speech’,ilhan omar hopes her minions can help her punish white nationalist tucker carlson for hate speech
Left,Immigrant children sent to Chicago shelters are traumatized and sick sometimes with chicken pox or tuberculosis,immigrant children sent to chicago shelters are traumatized and sick sometimes with chicken pox or tuberculosis
Left,Immigrant soldiers are now being denied US citizenship at a higher rate than civilians,immigrant soldiers are now being denied us citizenship at a higher rate than civilians
Center,In some countries killer cops are celebrated,in some countries killer cops are celebrated
Center,Indian farmers shocked as suspected meteorite crashes into rice field,indian farmers shocked as suspected meteorite crashes into rice field
Right,It Will Cost $600000 To Cover Up George Washington Mural That 'Traumatized' San Fran High School Students,it will cost 600000 to cover up george washington mural that traumatized san fran high school students
Left,It’s the End of the World as They Know It,its the end of the world as they know it
Right,Japan Goes Back To Hunting Whales For First Time In 31 Years,japan goes back to hunting whales for first time in 31 years
Right,Jimmy Carter: Trump ‘Didn’t Actually Win the Election’,jimmy carter: trump didnt actually win the election
Left,Joe Biden Is the Democrats’ Safety School,joe biden is the democrats safety school
Left,Journalist 29 Shot Dead In Northern Ireland In 'Terrorist Incident’,journalist 29 shot dead in northern ireland in terrorist incident
Right,Justin Amash faces intense blowback after Trump impeachment claims — then Trump hits back,justin amash faces intense blowback after trump impeachment claims  then trump hits back
Right,Kamala Harris Campaign Insists ‘She’s Been Very Clear’ on Health Care,kamala harris campaign insists shes been very clear on health care
Center,Katarina Johnson-Thompson smashes her personal best to win heptathlon,katarina johnson-thompson smashes her personal best to win heptathlon
Center,Latino votes could swing the Democratic primary. And the candidates know it.,latino votes could swing the democratic primary and the candidates know it
Right,Lion Scalps 4-Year-Old Girl After She Gets Too Close To Fence On Big Cat Farm,lion scalps 4-year-old girl after she gets too close to fence on big cat farm
Center,Lord mayor opens Joe Lycett's new kitchen extension,lord mayor opens joe lycett's new kitchen extension
Center,Malaysia orders tonnes of imported waste to be returned,malaysia orders tonnes of imported waste to be returned
Left,Mexican Official: No Plans to Stop Migrant Caravans,mexican no plans to stop migrant caravans
Left,Michael Cohen Claims He Has Evidence of Possible Illegal GOP Contributions From China,michael cohen claims he has evidence of possible illegal gop contributions from china
Right,Mom arrested after son’s pal scalded in ‘Hot Water Challenge’ at sleepover,mom arrested after sons pal scalded in hot water challenge at sleepover
Center,More than 30 feared dead in suspected arson at Kyoto animation studio,more than 30 feared dead in suspected arson at kyoto animation studio
Left,Nationwide Demonstrations Announced to Protest Immigrant Detention Centers,nationwide demonstrations announced to protest immigrant detention centers
Left,Nearly 500000 people have signed up on Facebook for a proposed raid on Area 51 — vowing to ‘see them aliens’,nearly 500000 people have signed up on facebook for a proposed raid on area 51  vowing to see them aliens
Left,New Hampshire Lawmakers Just Overrode the Republican Governor’s Veto and Abolished the Death Penalty,new hampshire lawmakers just overrode the republican governors veto and abolished the death penalty
Center,New front-month contract September WTI oil adds 46 cents or 0.8% to $56.22,new front-month contract september wti oil adds 46 cents or 1 percent to 5622
Center,Nissan Is Cutting 12500 Jobs; Latest Sign Of Trouble For The Auto Industry,nissan is cutting 12500 jobs; latest sign of trouble for the auto industry
Right,Nobody Was A More Complete Russian Collusion Stooge Than The U.S. Media,nobody was a more complete russian collusion stooge than the us media
Right,OH NOEZ! Alyssa Milano just totally doomed Amy McGrath’s entire campaign and all it took was ONE WORD,oh noez alyssa milano just totally doomed amy mcgraths entire campaign and all it took was one word
Right,Pelosi hits Trump over use of 9/11 images to criticize Muslim lawmaker,pelosi hits trump over use of 9/11 images to criticize muslim lawmaker
Right,Peñafiel bottled water pulled from shelves over high levels of arsenic,peafiel bottled water pulled from shelves over high levels of arsenic
Left,Police Charge Suspected Christchurch Mosque Gunman With Engaging In Terrorism,police charge suspected christchurch mosque gunman with engaging in terrorism
Right,President Donald Trump says Google and Facebook should be sued over allegations of their bias against conservatives desire to 'rig' 2020 election,president donald trump says google and facebook should be sued over allegations of their bias against conservatives desire to rig 2020 election
Right,Rare-Earths Mining Shows Exactly How China Cheats The United States Through ‘Free Trade’,rare-earths mining shows exactly how china cheats the united states through free trade
Right,Ratio alert! KC paper’s spin for attack on Daily Wire’s Michael Knowles takes victim-blaming to the next level,ratio alert kc papers spin for attack on daily wires michael knowles takes victim-blaming to the next level
Right,Record Number Of AFRICAN Migrants Are Now Showing Up At The U.S.-Mexico Border,record number of african migrants are now showing up at the us-mexico border
Left,Remember the South: Devastating Cyclone Idai Another Example of Global South Paying for Polluters,remember the south: devastating cyclone idai another example of global south paying for polluters
