Trump Steps up War on Whistleblowers: Air Force Vet Daniel Hale Arrested For Leaking Drone War Info	trump steps up war on whistleblowers: air force vet daniel hale arrested for leaking drone war info	PersonX is brave, needed to be in the military, intended to be a whistleblower, gets arrested, wants to get rid of the whistle blower, feels angry. Others want to go to jail, gets arrested, feel betrayed.	Left
Feds Charge Greg Craig Former Obama Lawyer Tied to Manafort Ukraine Report	feds charge greg craig former obama lawyer tied to manafort ukraine report	PersonX is criminal, needed to file a criminal complaint, intended to get a conviction, gets arrested, wants to file a criminal complaint, feels guilty. Others want to plead guilty, PersonX is arrested, feel guilty.	Left
Trump sold property to a ‘mysterious shell company’ tied to one of Maduro’s top allies in 2015	trump sold property to a mysterious shell company tied to one of maduros top allies in 2015	PersonX is suspicious, needed to buy the property, intended to make money, buys a house, wants to keep the money in the bank, feels good about themselves. Others want to keep the money, they get rich, feel betrayed.	Left
Holiday review – an unlovely sojourn around the twisted male psyche	holiday review  an unlovely sojourn around the twisted male psyche	PersonX is sadistic, needed to go on a trip, intended to write a book, goes to jail, wants to write a book, feels sad. Others want to get away from him, have a bad time, feel sad.	Center
This Celebrity Friendship Makes So Much Sense When You Realize It’s Stranger Things Season 3 Come to Life	this celebrity friendship makes so much sense when you realize its stranger things season 3 come to life	PersonX is funny, needed to watch the show, intended to be entertained, gets a new friend, wants to watch the show again, feels happy. Others want to watch the show, PersonY thinks about PersonY, feel happy.	Center
Originality And Uncertainty Still Reign As 'Black Mirror' Enters Its 5th Season	originality and uncertainty still reign as black mirror enters its 5th season	PersonX is creative, needed to watch the first season, intended to be unique, makes people laugh, wants to make a good impression, feels like it's a good show. Others want to watch the show, watch the show, feel uncertain.	Center
Navy SEAL Acquitted of Murder Is Sentenced Over Posing With a Corpse	navy seal acquitted of murder is sentenced over posing with a corpse	PersonX is violent, needed to pose with a corpse, intended to get away with murder, gets sent to prison, wants to get out of jail, feels guilty. Others want to go to jail, gets arrested, feel sad.	Center
Gottheimer (D) Faces Progressive Backlash Over Border Vote	gottheimer d faces progressive backlash over border vote	PersonX is angry, needed to be in office, intended to win the election, gets booed, wants to win the election, feels angry. Others want to vote against him, they get angry, feel angry.	Right
Chernobyl: Rescuing the abandoned dogs in the exclusion zone	chernobyl: rescuing the abandoned dogs in the exclusion zone	PersonX is brave, needed to go to the zone, intended to save the dogs, gets bitten by dog, wants to take care of the dogs, feels relieved. Others want to help the dogs, dogs are rescued, feel grateful.	Center
In Georgia’s “Murderville” Devonia Inman May Finally Have a Chance to Prove His Innocence	in georgias murderville devonia inman may finally have a chance to prove his innocence	PersonX is in prison, needed to go to court, intended to prove innocence, gets arrested, wants to go to court, feels hopeful. Others want to go to court, they get arrested, feel guilty.	Left
