"Cops in One Village Have Been Convicted of 70 Crimes. Here’s What They Had to Say About It."	-5
"DIY penis enlargements are a 'nationwide problem' in Papua New Guinea"	13
"Dam breaking: New Epstein accuser comes forward"	
"David Beckham gets six-month driving ban for using phone at wheel"	-6
"Dead sea turtle found with spear through head in Florida national park"	27
"Democrats defend Congresswomen Trump says should “go back” to their “corrupt” countries"	-16
"Detention centres 'will shock the conscience of this country'"	-3
"Don McGahn fires back at Donald Trump"	-34
"Donald Trump even has lies hiding in the underpants of the secret service | First Dog on the Moon"	-6
"Donald Trump has crazed meltdown in White House driveway"	-34
"Donald Trump’s ‘bizarre’ questions on George Washington tour"	-10
"Donations to Charities Drop After Trump Tax Law"	12
"Dow books fourth straight weekly slide -- longest weekly skid since 2016"	5
"Dow takes 700-point nosedive as trade war escalates"	-10
"EU chief tries to sell top job nominees to hostile lawmakers"	20
"El Salvador’s President Says His Country — Not Trump — Is Responsible For Migrant Deaths In Rio Grande"	24
"Elizabeth Warren Lays Out a Theory of Change at First Democratic Debate"	-23
"Emojis That Don’t Exist but Should"	-10
"Enbridge Is Behind This Front Group Pushing the Company’s Line 3 Oil Pipeline"	-24
"Equal pay for women’s soccer will require equal revenue"	
"Europe failed to act after the 2003 French heatwave. We cannot ignore this one | Ruben Hallali"	-6
"Europe’s Dream: Escaping the Dictatorship of the Dollar"	9
"FBI’s Leniency Toward Border Vigilante Contrasts With Harsh Treatment of “Black Identity Extremist”"	-23
"Fifty Years After Stonewall, Many States Still Lack LGBTQ Protections"	-19
"Figure linked to Trump transition charged with transporting child pornography"	-10
"Five numbers that explain US border crisis"	-3
"Five ways to care for your scalp"	-6
"Former Trump associate accused of trying to launder stolen money through Trump company"	-13
"France Is The Latest Country To Authorize Killing People Who Aren’t Dying"	27
"Free Speech! White House Refuses to Sign New Zealand Censorship Call"	
"Full Coverage: The Manson murders — 50 years later"	-6
"Full Mueller report may have 'proof of bad deeds' and must be seen – Democrat"	-6
"Furious residents say property developer cut down forest without permission"	13
"George Archer – the 1969 Masters winner who had an amazing secret | Ewan Murray"	-6
"Getting 'California Sober' Showed Me a Kinder, Gentler Way to Do Drugs"	-10
"Giving Birth in the Wake of a Storm"	-9
"Gold futures move up after earlier declines as U.S. stock indexes turn lower"	5
"Greta Gerwig and Noah Baumbach Welcome Their First Child"	-1
"He donated his mother's body for Alzheimer's research — but it was sold to US Army, 'strapped in a chair,' and used for blast testing"	27
"Head of Program Profiling Muslims in Chicago Steps Down Amid Pressure"	-24
"Heartbreak anew after 2 Parkland teens, Sandy Hook father dead from apparent suicides"	27
"Hero Dogs Save Owner Who Was Being Attacked By Two Armed Men"	
"Hmmm: New Dem primary poll shows Warren passing Bernie Sanders for second place"	
"Holiday Inn owner to ditch mini toiletries from 5,000 hotels"	-6
"Holy Guacamole! Avocado Growers Say U.S. Will Run Out Of Avocados In Three WEEKS If Trump Seals Border"	28
"House Conservatives Form New ‘Anti-Socialism Caucus’"	28
"House Democrats thread the needle on impeachment in hometown town halls"	
"House Panel Subpoenas Kellyanne Conway over ‘Egregious’ Ethics Violations"	20
"House to probe rise in hate crimes since Trump was elected"	
"I Make $1,000 a Week Writing Essays for Lazy Students"	-10
"I Wore a Music-Activated Vibrator to the Club Instead of Doing Drugs"	-10
"Ilhan Omar hopes her minions can help her punish ‘white nationalist’ Tucker Carlson for ‘hate speech’"	29
"Illegal immigrant, 33, is charged in the shooting death of 28-year-old Oklahoma mother-of-one"	13
"Immigrant children sent to Chicago shelters are traumatized and sick, sometimes with chicken pox or tuberculosis"	-23
"Immigrant soldiers are now being denied US citizenship at a higher rate than civilians"	-23
"In 1 Chart, How Your Taxes Are Spent"	-15
"In some countries, killer cops are celebrated"	4
"Indian election: Narendra Modi’s BJP tipped for victory"	-10
"Indian farmers shocked as suspected meteorite crashes into rice field"	-6
"Indigenous Tribe Wins Legal Battle Against Oil Companies, Preventing Drilling In The Rainforest"	
"Iowa Farmers Send Relief To Nebraska Flood Victims"	
"Iran Says US Cyber Attacks Failed, Hints at Possible Talks"	44
"Iran fails in attempt to ‘impede’ British oil tanker"	-10
"It Will Cost $600,000 To Cover Up George Washington Mural That 'Traumatized' San Fran High School Students"	28
"It’s the End of the World as They Know It"	-24
"Jacinda Ardern Has Rewritten the Script for How a Nation Grieves After a Terrorist Attack"	-9
"Japan Goes Back To Hunting Whales For First Time In 31 Years"	24
"Jeopardy Wasn’t Designed for a Contestant Like James Holzhauer"	-15
"Jimmy Carter: Trump ‘Didn’t Actually Win the Election’"	24
"Joe Biden Is the Democrats’ Safety School"	-19
"Journalist, 29, Shot Dead In Northern Ireland In 'Terrorist Incident’"	-20
"Judicial Watch Sues For Documents Potentially Showing FBI Ignored Evidence That Chinese Hacked Hillary Clinton’s Private Server"	35
"Justin Amash faces intense blowback after Trump impeachment claims — then Trump hits back"	27
"Kamala Harris Campaign Insists ‘She’s Been Very Clear’ on Health Care"	24
"Katarina Johnson-Thompson smashes her personal best to win heptathlon"	-6
"Labour on course to sweep European elections"	-10
"Latino votes could swing the Democratic primary. And the candidates know it."	-3
